Genome,Cluster
GCA_049945055.1_ASM4994505v1_genomic_100kbp_proxy.fna,0
GCA_025847675.1_ASM2584767v1_genomic_100kbp_proxy.fna,0
GCF_905311405.2_NRS6107B_genomic_100kbp_proxy.fna,1
GCF_014100815.1_ASM1410081v1_genomic_100kbp_proxy.fna,2
GCF_029350925.1_ASM2935092v1_genomic_100kbp_proxy.fna,0
GCF_037747845.1_ASM3774784v1_genomic_100kbp_proxy.fna,1
GCF_041949745.1_ASM4194974v1_genomic_100kbp_proxy.fna,1
GCF_002220075.1_ASM222007v1_genomic_100kbp_proxy.fna,1
GCA_019704395.1_ASM1970439v1_genomic_100kbp_proxy.fna,0
GCF_017601115.1_ASM1760111v1_genomic_100kbp_proxy.fna,1
GCA_982983345.1_NOWI19-1_SAMN10350898_MAG_00000050_genomic_100kbp_proxy.fna,2
GCF_037201685.1_ASM3720168v1_genomic_100kbp_proxy.fna,1
GCF_041224885.1_ASM4122488v1_genomic_100kbp_proxy.fna,0
GCA_004294565.1_ASM429456v1_genomic_100kbp_proxy.fna,1
GCF_058137905.1_ASM5813790v1_genomic_100kbp_proxy.fna,1
GCA_049949125.1_ASM4994912v1_genomic_100kbp_proxy.fna,1
GCF_051515105.1_ASM5151510v1_genomic_100kbp_proxy.fna,1
GCF_047273435.1_ASM4727343v1_genomic_100kbp_proxy.fna,0
GCF_002216085.1_ASM221608v1_genomic_100kbp_proxy.fna,1
GCF_025367495.1_ASM2536749v1_genomic_100kbp_proxy.fna,1
GCA_051912515.1_ASM5191251v1_genomic_100kbp_proxy.fna,1
GCF_002998795.1_ASM299879v1_genomic_100kbp_proxy.fna,0
GCA_003417435.1_ASM341743v1_genomic_100kbp_proxy.fna,1
GCA_032680865.1_ASM3268086v1_genomic_100kbp_proxy.fna,1
GCF_022453545.1_ASM2245354v1_genomic_100kbp_proxy.fna,1
GCF_060855465.1_ASM6085546v1_genomic_100kbp_proxy.fna,1
GCA_050457305.1_ASM5045730v1_genomic_100kbp_proxy.fna,0
GCF_057334135.1_ASM5733413v1_genomic_100kbp_proxy.fna,0
GCA_009937745.1_ASM993774v1_genomic_100kbp_proxy.fna,1
GCF_042264485.1_ASM4226448v1_genomic_100kbp_proxy.fna,1
GCF_044499385.1_ASM4449938v1_genomic_100kbp_proxy.fna,0
GCF_019884805.1_ASM1988480v1_genomic_100kbp_proxy.fna,2
GCF_000934165.1_ASM93416v1_genomic_100kbp_proxy.fna,1
GCF_018394175.1_ASM1839417v1_genomic_100kbp_proxy.fna,0
GCF_982983745.1_NOWI19-1_SAMN09201452_MAG_00000043_genomic_100kbp_proxy.fna,2
GCA_035828575.1_ASM3582857v1_genomic_100kbp_proxy.fna,0
GCA_035805195.1_ASM3580519v1_genomic_100kbp_proxy.fna,1
GCA_053609825.1_ASM5360982v1_genomic_100kbp_proxy.fna,0
GCF_002096095.1_ASM209609v1_genomic_100kbp_proxy.fna,1
GCF_050884255.1_ASM5088425v1_genomic_100kbp_proxy.fna,1
GCA_042755865.1_ASM4275586v1_genomic_100kbp_proxy.fna,0
GCA_002205435.1_ASM220543v1_genomic_100kbp_proxy.fna,1
GCA_056836705.1_ASM5683670v1_genomic_100kbp_proxy.fna,0
GCF_900110305.1_IMG-taxon_2623620441_annotated_assembly_genomic_100kbp_proxy.fna,0
GCA_051904005.1_ASM5190400v1_genomic_100kbp_proxy.fna,0
GCA_028541205.1_ASM2854120v1_genomic_100kbp_proxy.fna,0
GCA_036222565.1_ASM3622256v1_genomic_100kbp_proxy.fna,1
GCA_050460385.1_ASM5046038v1_genomic_100kbp_proxy.fna,1
GCF_054481155.1_ASM5448115v1_genomic_100kbp_proxy.fna,1
GCA_905311035.2_NRS6096B_genomic_100kbp_proxy.fna,0
GCF_055702205.1_ASM5570220v1_genomic_100kbp_proxy.fna,0
GCA_010578225.1_ASM1057822v1_genomic_100kbp_proxy.fna,0
GCF_014879275.1_ASM1487927v1_genomic_100kbp_proxy.fna,0
GCF_027533785.1_ASM2753378v1_genomic_100kbp_proxy.fna,0
GCA_028864775.1_ASM2886477v1_genomic_100kbp_proxy.fna,0
GCA_905310985.2_NRS6099B_genomic_100kbp_proxy.fna,1
GCF_046592855.1_ASM4659285v1_genomic_100kbp_proxy.fna,0
GCA_022370975.1_ASM2237097v1_genomic_100kbp_proxy.fna,1
GCA_977569975.1_MarMAG_000340_genomic_100kbp_proxy.fna,2
GCF_036213365.1_ASM3621336v1_genomic_100kbp_proxy.fna,0
GCA_055791245.1_ASM5579124v1_genomic_100kbp_proxy.fna,0
GCF_000227485.1_ASM22748v1_genomic_100kbp_proxy.fna,0
GCA_060371935.1_ASM6037193v1_genomic_100kbp_proxy.fna,0
GCF_007829495.1_ASM782949v1_genomic_100kbp_proxy.fna,0
GCA_035813295.1_ASM3581329v1_genomic_100kbp_proxy.fna,1
GCA_046573225.1_ASM4657322v1_genomic_100kbp_proxy.fna,1
GCA_004119635.1_ASM411963v1_genomic_100kbp_proxy.fna,1
GCA_039654045.1_YB955_UNLV_AUG_23_genomic_100kbp_proxy.fna,0
GCA_055754995.1_ASM5575499v1_genomic_100kbp_proxy.fna,0
GCF_004119595.1_ASM411959v1_genomic_100kbp_proxy.fna,0
GCA_023509705.1_ASM2350970v1_genomic_100kbp_proxy.fna,0
GCF_982524965.1_NRS2103_genomic_100kbp_proxy.fna,1
GCA_052360545.1_ASM5236054v1_genomic_100kbp_proxy.fna,0
GCF_001560245.1_GG12_C01_18_genomic_100kbp_proxy.fna,1
GCA_900177305.1_IMG-taxon_2547132509_annotated_assembly_genomic_100kbp_proxy.fna,1
GCA_001604995.1_ASM160499v1_genomic_100kbp_proxy.fna,0
GCF_001661555.1_ASM166155v1_genomic_100kbp_proxy.fna,0
GCA_014046405.1_ASM1404640v1_genomic_100kbp_proxy.fna,0
GCA_042667855.1_ASM4266785v1_genomic_100kbp_proxy.fna,1
GCA_983010485.1_NOWI19-1_SAMN09201602_MAG_00000110_genomic_100kbp_proxy.fna,2
GCF_026639155.1_ASM2663915v1_genomic_100kbp_proxy.fna,0
GCF_001876485.1_ASM187648v1_genomic_100kbp_proxy.fna,0
GCA_001747445.1_ASM174744v1_genomic_100kbp_proxy.fna,1
GCA_007829735.1_ASM782973v1_genomic_100kbp_proxy.fna,0
GCA_013388335.1_ASM1338833v1_genomic_100kbp_proxy.fna,1
GCA_056433245.1_ASM5643324v1_genomic_100kbp_proxy.fna,0
GCA_980643915.1_23FF04-BHI-01_genomic_100kbp_proxy.fna,0
GCA_035809435.1_ASM3580943v1_genomic_100kbp_proxy.fna,1
GCA_057736595.1_ASM5773659v1_genomic_100kbp_proxy.fna,0
GCF_015881035.1_ASM1588103v1_genomic_100kbp_proxy.fna,1
GCA_000009045.1_ASM904v1_genomic_100kbp_proxy.fna,1
GCF_035814285.1_ASM3581428v1_genomic_100kbp_proxy.fna,0
GCF_055701465.1_ASM5570146v1_genomic_100kbp_proxy.fna,1
GCF_035805035.1_ASM3580503v1_genomic_100kbp_proxy.fna,0
GCA_004101445.1_ASM410144v1_genomic_100kbp_proxy.fna,0
GCF_034858155.1_ASM3485815v1_genomic_100kbp_proxy.fna,1
GCA_035813055.1_ASM3581305v1_genomic_100kbp_proxy.fna,0
GCF_035812175.1_ASM3581217v1_genomic_100kbp_proxy.fna,0
GCA_007666315.1_ASM766631v1_genomic_100kbp_proxy.fna,1
GCA_056631855.1_ASM5663185v1_genomic_100kbp_proxy.fna,0
GCA_977010325.1_NRS7981_genomic_100kbp_proxy.fna,0
GCA_033413615.1_ASM3341361v1_genomic_100kbp_proxy.fna,0
GCA_002269195.1_ASM226919v1_genomic_100kbp_proxy.fna,1
GCA_047785725.1_ASM4778572v1_genomic_100kbp_proxy.fna,1
GCA_013620725.1_ASM1362072v1_genomic_100kbp_proxy.fna,0
GCA_052120875.1_ASM5212087v1_genomic_100kbp_proxy.fna,1
GCF_000971925.1_ASM97192v1_genomic_100kbp_proxy.fna,0
GCA_005849145.1_ASM584914v1_genomic_100kbp_proxy.fna,1
GCF_001560035.1_GG12_C01_05_genomic_100kbp_proxy.fna,1
GCF_977010375.1_NRS7979_genomic_100kbp_proxy.fna,0
GCA_001560405.1_NG05B_C06_03_genomic_100kbp_proxy.fna,1
GCF_010614705.1_ASM1061470v1_genomic_100kbp_proxy.fna,0
GCF_003265645.1_ASM326564v1_genomic_100kbp_proxy.fna,1
GCA_040513675.1_ASM4051367v1_genomic_100kbp_proxy.fna,1
GCA_052037915.2_ASM5203791v2_genomic_100kbp_proxy.fna,0
GCF_012648345.1_ASM1264834v1_genomic_100kbp_proxy.fna,0
GCF_028870335.1_ASM2887033v1_genomic_100kbp_proxy.fna,0
GCF_030262585.1_ASM3026258v1_genomic_100kbp_proxy.fna,1
GCA_039770055.1_ASM3977005v1_genomic_100kbp_proxy.fna,0
GCA_035812215.1_ASM3581221v1_genomic_100kbp_proxy.fna,0
GCA_030316035.1_ASM3031603v1_genomic_100kbp_proxy.fna,0
GCA_028807115.1_ASM2880711v1_genomic_100kbp_proxy.fna,0
GCA_028748025.1_ASM2874802v1_genomic_100kbp_proxy.fna,0
GCF_054979585.1_ASM5497958v1_genomic_100kbp_proxy.fna,2
GCA_053606925.1_ASM5360692v1_genomic_100kbp_proxy.fna,0
GCA_008014635.1_ASM801463v1_genomic_100kbp_proxy.fna,1
GCF_003665235.1_ASM366523v1_genomic_100kbp_proxy.fna,1
GCF_000772205.1_ASM77220v1_genomic_100kbp_proxy.fna,1
GCA_024800645.1_ASM2480064v1_genomic_100kbp_proxy.fna,1
GCF_018603805.1_ASM1860380v1_genomic_100kbp_proxy.fna,0
GCA_019037905.1_ASM1903790v1_genomic_100kbp_proxy.fna,0
GCF_051025355.1_ASM5102535v1_genomic_100kbp_proxy.fna,1
GCF_009662175.1_ASM966217v1_genomic_100kbp_proxy.fna,1
GCA_036221465.1_ASM3622146v1_genomic_100kbp_proxy.fna,1
GCF_054065575.1_ASM5406557v1_genomic_100kbp_proxy.fna,1
GCA_001560305.1_GG12_C01_22_genomic_100kbp_proxy.fna,1
GCA_019037525.1_ASM1903752v1_genomic_100kbp_proxy.fna,0
GCF_055454095.1_ASM5545409v1_genomic_100kbp_proxy.fna,1
GCA_059729445.1_ASM5972944v1_genomic_100kbp_proxy.fna,2
GCA_002272375.1_assembly-7706_v1_genomic_100kbp_proxy.fna,0
GCA_039903365.1_ASM3990336v1_genomic_100kbp_proxy.fna,1
GCA_036221845.1_ASM3622184v1_genomic_100kbp_proxy.fna,1
GCA_000815405.1_ASM81540v1_genomic_100kbp_proxy.fna,0
GCF_019037645.1_ASM1903764v1_genomic_100kbp_proxy.fna,0
GCA_986919055.1_YB2_genome_assembly_genomic_100kbp_proxy.fna,0
GCF_036221705.1_ASM3622170v1_genomic_100kbp_proxy.fna,1
GCF_035809035.1_ASM3580903v1_genomic_100kbp_proxy.fna,0
GCA_002153395.1_ASM215339v1_genomic_100kbp_proxy.fna,0
GCA_052043885.1_ASM5204388v1_genomic_100kbp_proxy.fna,1
GCA_905311015.1_NRS6094_genomic_100kbp_proxy.fna,1
GCA_007996945.1_ASM799694v1_genomic_100kbp_proxy.fna,1
GCA_037749985.1_ASM3774998v1_genomic_100kbp_proxy.fna,1
GCA_027689075.1_ASM2768907v1_genomic_100kbp_proxy.fna,1
GCA_047302565.1_ASM4730256v1_genomic_100kbp_proxy.fna,0
GCA_016065415.1_ASM1606541v1_genomic_100kbp_proxy.fna,0
GCA_031316435.1_ASM3131643v1_genomic_100kbp_proxy.fna,0
GCF_013867545.1_ASM1386754v1_genomic_100kbp_proxy.fna,0
GCF_035804515.1_ASM3580451v1_genomic_100kbp_proxy.fna,0
GCA_007165645.1_ASM716564v1_genomic_100kbp_proxy.fna,2
GCA_002173715.1_ASM217371v1_genomic_100kbp_proxy.fna,0
GCA_018141065.1_ASM1814106v1_genomic_100kbp_proxy.fna,1
GCA_983003735.1_NOWI19-1_SAMN10350894_MAG_00000125_genomic_100kbp_proxy.fna,2
GCF_900604845.1_TTHNAR1_genomic_100kbp_proxy.fna,2
GCA_001560205.1_GG12_C01_16_genomic_100kbp_proxy.fna,1
GCF_006364495.1_ASM636449v1_genomic_100kbp_proxy.fna,0
GCF_035804935.1_ASM3580493v1_genomic_100kbp_proxy.fna,0
GCA_025642835.1_ASM2564283v1_genomic_100kbp_proxy.fna,0
GCF_047528675.1_ASM4752867v1_genomic_100kbp_proxy.fna,1
GCF_000973605.1_ASM97360v1_genomic_100kbp_proxy.fna,1
GCF_030005595.1_ASM3000559v1_genomic_100kbp_proxy.fna,1
GCA_023614045.1_ASM2361404v1_genomic_100kbp_proxy.fna,1
GCA_977010355.1_NRS8001_genomic_100kbp_proxy.fna,0
GCF_036216785.1_ASM3621678v1_genomic_100kbp_proxy.fna,0
GCA_052119805.1_ASM5211980v1_genomic_100kbp_proxy.fna,0
GCA_040733615.1_ASM4073361v1_genomic_100kbp_proxy.fna,0
GCF_039769285.1_ASM3976928v1_genomic_100kbp_proxy.fna,1
GCA_046529435.1_ASM4652943v1_genomic_100kbp_proxy.fna,0
GCF_035813875.1_ASM3581387v1_genomic_100kbp_proxy.fna,0
GCF_035319605.1_ASM3531960v1_genomic_100kbp_proxy.fna,0
GCA_004101945.1_ASM410194v1_genomic_100kbp_proxy.fna,1
GCA_037169145.1_ASM3716914v1_genomic_100kbp_proxy.fna,0
GCF_022654795.1_ASM2265479v1_genomic_100kbp_proxy.fna,0
GCA_010094155.1_ASM1009415v1_genomic_100kbp_proxy.fna,1
GCA_000832195.1_ASM83219v1_genomic_100kbp_proxy.fna,0
GCA_004119775.1_ASM411977v1_genomic_100kbp_proxy.fna,0
GCA_050465765.1_ASM5046576v1_genomic_100kbp_proxy.fna,1
GCA_024507835.1_ASM2450783v1_genomic_100kbp_proxy.fna,1
GCF_001560605.1_NG05B_CO5_03_genomic_100kbp_proxy.fna,1
GCF_028462485.1_ASM2846248v1_genomic_100kbp_proxy.fna,0
GCF_009913595.1_ASM991359v1_genomic_100kbp_proxy.fna,0
GCF_035812615.1_ASM3581261v1_genomic_100kbp_proxy.fna,0
GCA_053607025.1_ASM5360702v1_genomic_100kbp_proxy.fna,0
GCF_039621415.1_ASM3962141v1_genomic_100kbp_proxy.fna,1
GCF_007678335.1_ASM767833v1_genomic_100kbp_proxy.fna,1
GCA_024262185.1_ASM2426218v1_genomic_100kbp_proxy.fna,1
GCA_047902445.1_ASM4790244v1_genomic_100kbp_proxy.fna,0
GCA_982518525.1_NRS2135_genomic_100kbp_proxy.fna,1
GCA_049059625.1_ASM4905962v1_genomic_100kbp_proxy.fna,1
GCF_051252615.1_ASM5125261v1_genomic_100kbp_proxy.fna,1
GCF_060334785.1_ASM6033478v1_genomic_100kbp_proxy.fna,0
GCA_036178865.1_ASM3617886v1_genomic_100kbp_proxy.fna,0
GCA_000245295.1_ASM24529v1_genomic_100kbp_proxy.fna,0
GCA_008180345.1_ASM818034v1_genomic_100kbp_proxy.fna,1
GCF_023521275.1_ASM2352127v1_genomic_100kbp_proxy.fna,1
GCA_035810155.1_ASM3581015v1_genomic_100kbp_proxy.fna,1
GCF_035810235.1_ASM3581023v1_genomic_100kbp_proxy.fna,1
GCF_024752515.1_ASM2475251v1_genomic_100kbp_proxy.fna,1
GCF_054353695.1_ASM5435369v1_genomic_100kbp_proxy.fna,1
GCA_013267115.1_ASM1326711v1_genomic_100kbp_proxy.fna,0
GCF_009913275.1_ASM991327v1_genomic_100kbp_proxy.fna,1
GCF_052038035.2_ASM5203803v2_genomic_100kbp_proxy.fna,1
GCF_014805495.1_ASM1480549v1_genomic_100kbp_proxy.fna,1
GCA_982518415.1_NRS2131_genomic_100kbp_proxy.fna,0
GCA_002378905.1_ASM237890v1_genomic_100kbp_proxy.fna,2
GCA_033392095.1_ASM3339209v1_genomic_100kbp_proxy.fna,0
GCF_026790755.1_ASM2679075v1_genomic_100kbp_proxy.fna,1
GCF_031298055.1_ASM3129805v1_genomic_100kbp_proxy.fna,2
GCA_057592975.1_ASM5759297v1_genomic_100kbp_proxy.fna,0
GCA_043197325.1_ASM4319732v1_genomic_100kbp_proxy.fna,1
GCA_028540725.1_ASM2854072v1_genomic_100kbp_proxy.fna,1
GCF_059130615.1_ASM5913061v1_genomic_100kbp_proxy.fna,1
GCA_054979555.1_ASM5497955v1_genomic_100kbp_proxy.fna,2
GCF_010578035.1_ASM1057803v1_genomic_100kbp_proxy.fna,0
GCA_044545595.1_ASM4454559v1_genomic_100kbp_proxy.fna,0
GCF_036213405.1_ASM3621340v1_genomic_100kbp_proxy.fna,1
GCA_964017255.1_ASM904v2_genomic_100kbp_proxy.fna,0
GCA_035822685.1_ASM3582268v1_genomic_100kbp_proxy.fna,0
GCA_047120645.1_ASM4712064v1_genomic_100kbp_proxy.fna,1
GCA_024706255.1_ASM2470625v1_genomic_100kbp_proxy.fna,1
GCA_017599395.1_ASM1759939v1_genomic_100kbp_proxy.fna,1
GCA_051487145.1_ASM5148714v1_genomic_100kbp_proxy.fna,1
GCA_001596535.1_ASM159653v1_genomic_100kbp_proxy.fna,0
GCF_030348645.1_ASM3034864v1_genomic_100kbp_proxy.fna,1
GCA_003665195.1_ASM366519v1_genomic_100kbp_proxy.fna,1
GCF_039880435.1_ASM3988043v1_genomic_100kbp_proxy.fna,1
GCA_028541565.1_ASM2854156v1_genomic_100kbp_proxy.fna,1
GCA_036966605.1_ASM3696660v1_genomic_100kbp_proxy.fna,1
GCA_011800745.1_ASM1180074v1_genomic_100kbp_proxy.fna,1
GCA_050478665.1_ASM5047866v1_genomic_100kbp_proxy.fna,0
GCA_905315385.1_NRS6137_genomic_100kbp_proxy.fna,0
GCF_977010965.1_NRS8005_genomic_100kbp_proxy.fna,1
GCA_048593395.1_Bacillus_subtilis_genome_from_Protein_Technologies_lab_of_SPC_Armbiotechnology_genomic_100kbp_proxy.fna,0
GCA_905315685.2_NRS6145B_genomic_100kbp_proxy.fna,1
GCA_000258245.1_ASM25824v1_genomic_100kbp_proxy.fna,2
GCF_036687325.1_TTHB27_delta_csm3_genomic_100kbp_proxy.fna,2
GCA_056098865.1_ASM5609886v1_genomic_100kbp_proxy.fna,1
GCF_036213425.1_ASM3621342v1_genomic_100kbp_proxy.fna,1
GCF_037145075.1_ASM3714507v1_genomic_100kbp_proxy.fna,0
GCF_015645615.1_ASM1564561v1_genomic_100kbp_proxy.fna,1
GCA_007666235.1_ASM766623v1_genomic_100kbp_proxy.fna,1
GCF_030028395.1_ASM3002839v1_genomic_100kbp_proxy.fna,0
GCA_006454465.1_ASM645446v1_genomic_100kbp_proxy.fna,0
GCA_028541545.1_ASM2854154v1_genomic_100kbp_proxy.fna,0
GCA_051858235.3_ASM5185823v3_genomic_100kbp_proxy.fna,1
GCF_046588145.1_ASM4658814v1_genomic_100kbp_proxy.fna,1
GCF_059821485.1_ASM5982148v1_genomic_100kbp_proxy.fna,0
GCA_050477585.1_ASM5047758v1_genomic_100kbp_proxy.fna,0
GCF_023650935.1_ASM2365093v1_genomic_100kbp_proxy.fna,1
GCA_035814275.1_ASM3581427v1_genomic_100kbp_proxy.fna,0
GCA_002378965.1_ASM237896v1_genomic_100kbp_proxy.fna,2
GCF_977551705.1_MarMAG_000342_genomic_100kbp_proxy.fna,2
GCF_051252635.1_ASM5125263v1_genomic_100kbp_proxy.fna,0
GCA_054962355.1_ASM5496235v1_genomic_100kbp_proxy.fna,0
GCF_003339745.1_ASM333974v1_genomic_100kbp_proxy.fna,0
GCF_030016535.1_ASM3001653v1_genomic_100kbp_proxy.fna,1
GCA_004101565.1_ASM410156v1_genomic_100kbp_proxy.fna,0
GCA_035810175.1_ASM3581017v1_genomic_100kbp_proxy.fna,0
GCA_050463065.1_ASM5046306v1_genomic_100kbp_proxy.fna,0
GCF_052043905.1_ASM5204390v1_genomic_100kbp_proxy.fna,0
GCA_040369885.1_ASM4036988v1_genomic_100kbp_proxy.fna,2
GCF_035810215.1_ASM3581021v1_genomic_100kbp_proxy.fna,1
GCA_000830645.1_ASM83064v1_genomic_100kbp_proxy.fna,0
GCA_977555915.1_MarMAG_000336_genomic_100kbp_proxy.fna,2
GCA_015845955.1_ASM1584595v1_genomic_100kbp_proxy.fna,0
GCF_052038015.2_ASM5203801v2_genomic_100kbp_proxy.fna,1
GCF_030121685.1_ASM3012168v1_genomic_100kbp_proxy.fna,0
GCA_029536855.2_ASM2953685v2_genomic_100kbp_proxy.fna,0
GCF_035808095.1_ASM3580809v1_genomic_100kbp_proxy.fna,1
GCF_905311005.1_NRS6092_genomic_100kbp_proxy.fna,0
GCF_051122525.1_ASM5112252v1_genomic_100kbp_proxy.fna,0
GCA_014498985.1_ASM1449898v1_genomic_100kbp_proxy.fna,1
GCA_035804495.1_ASM3580449v1_genomic_100kbp_proxy.fna,1
GCA_050482345.1_ASM5048234v1_genomic_100kbp_proxy.fna,1
GCF_011317145.1_ASM1131714v1_genomic_100kbp_proxy.fna,0
GCA_047823005.1_ASM4782300v1_genomic_100kbp_proxy.fna,0
GCA_035812975.1_ASM3581297v1_genomic_100kbp_proxy.fna,0
GCF_047758065.1_ASM4775806v1_genomic_100kbp_proxy.fna,1
GCA_057008475.1_ASM5700847v1_genomic_100kbp_proxy.fna,0
GCA_052119825.1_ASM5211982v1_genomic_100kbp_proxy.fna,1
GCA_982965945.1_NOWI19-1_SAMN09201534_MAG_00000105_genomic_100kbp_proxy.fna,2
GCA_023078435.1_ASM2307843v1_genomic_100kbp_proxy.fna,0
GCF_028806775.1_ASM2880677v1_genomic_100kbp_proxy.fna,1
GCA_036213585.1_ASM3621358v1_genomic_100kbp_proxy.fna,1
GCA_004119715.1_ASM411971v1_genomic_100kbp_proxy.fna,1
GCA_044901375.1_ASM4490137v1_genomic_100kbp_proxy.fna,1
GCA_042670465.1_ASM4267046v1_genomic_100kbp_proxy.fna,0
GCA_018986855.1_ASM1898685v1_genomic_100kbp_proxy.fna,0
GCF_049945035.1_ASM4994503v1_genomic_100kbp_proxy.fna,0
GCA_025449235.1_ASM2544923v1_genomic_100kbp_proxy.fna,0
GCF_050474085.1_ASM5047408v1_genomic_100kbp_proxy.fna,0
GCF_001560835.1_NG05B_CO5_15_genomic_100kbp_proxy.fna,1
GCA_047302535.1_SY83.1.0_genomic_100kbp_proxy.fna,1
GCF_047314905.1_ASM4731490v1_genomic_100kbp_proxy.fna,1
GCA_977543885.1_MarMAG_000339_genomic_100kbp_proxy.fna,2
GCA_013620675.1_ASM1362067v1_genomic_100kbp_proxy.fna,0
GCA_040549285.1_ASM4054928v1_genomic_100kbp_proxy.fna,1
GCF_982997465.1_NOWI19-1_SAMN09201603_MAG_00000067_genomic_100kbp_proxy.fna,2
GCA_024507815.1_ASM2450781v1_genomic_100kbp_proxy.fna,0
GCF_013186645.1_ASM1318664v1_genomic_100kbp_proxy.fna,1
GCF_057444255.1_ASM5744425v1_genomic_100kbp_proxy.fna,1
GCA_001465815.1_ASM146581v1_genomic_100kbp_proxy.fna,1
GCF_052693295.1_ASM5269329v1_genomic_100kbp_proxy.fna,1
GCA_042266485.1_ASM4226648v1_genomic_100kbp_proxy.fna,1
GCA_042793295.1_ASM4279329v1_genomic_100kbp_proxy.fna,0
GCA_009676665.1_ASM967666v1_genomic_100kbp_proxy.fna,0
GCA_050468265.1_ASM5046826v1_genomic_100kbp_proxy.fna,0
GCA_983004475.1_NOWI19-1_SAMN09201440_MAG_00000038_genomic_100kbp_proxy.fna,2
GCF_013393725.1_ASM1339372v1_genomic_100kbp_proxy.fna,0
GCA_982813115.1_FORT15-1_SAMEA3355528_MAG_00000097_genomic_100kbp_proxy.fna,2
GCA_002201955.1_ASM220195v1_genomic_100kbp_proxy.fna,0
GCF_001560675.1_NG05B_CO5_06_genomic_100kbp_proxy.fna,1
GCA_050461865.1_ASM5046186v1_genomic_100kbp_proxy.fna,0
GCA_053786015.1_ASM5378601v1_genomic_100kbp_proxy.fna,0
GCA_042803035.1_ASM4280303v1_genomic_100kbp_proxy.fna,1
GCA_050476505.1_ASM5047650v1_genomic_100kbp_proxy.fna,0
GCA_037414465.1_ASM3741446v1_genomic_100kbp_proxy.fna,1
GCA_035804655.1_ASM3580465v1_genomic_100kbp_proxy.fna,0
GCA_003184225.1_ASM318422v1_genomic_100kbp_proxy.fna,0
GCA_057544205.1_ASM5754420v1_genomic_100kbp_proxy.fna,1
GCF_016865275.1_ASM1686527v1_genomic_100kbp_proxy.fna,2
GCF_010912695.1_ASM1091269v1_genomic_100kbp_proxy.fna,1
GCA_021172185.1_ASM2117218v1_genomic_100kbp_proxy.fna,1
GCF_001560065.1_GG12_C01_08_genomic_100kbp_proxy.fna,1
GCA_036221445.1_ASM3622144v1_genomic_100kbp_proxy.fna,1
GCF_019748555.1_ASM1974855v1_genomic_100kbp_proxy.fna,0
GCF_046599185.1_De_novo_genomic_100kbp_proxy.fna,0
GCF_022832445.1_ASM2283244v1_genomic_100kbp_proxy.fna,0
GCA_059729465.1_ASM5972946v1_genomic_100kbp_proxy.fna,2
GCA_019037315.1_ASM1903731v1_genomic_100kbp_proxy.fna,0
GCF_905315395.2_NRS6134B_genomic_100kbp_proxy.fna,0
GCF_000523045.1_ASM52304v1_genomic_100kbp_proxy.fna,0
GCF_035809015.1_ASM3580901v1_genomic_100kbp_proxy.fna,0
GCF_059819925.1_ASM5981992v1_genomic_100kbp_proxy.fna,1
GCF_003426125.1_ASM342612v1_genomic_100kbp_proxy.fna,1
GCF_042269425.1_ASM4226942v1_genomic_100kbp_proxy.fna,0
GCF_000012285.1_ASM1228v1_genomic_100kbp_proxy.fna,1
GCF_045780055.1_ASM4578005v1_genomic_100kbp_proxy.fna,0
GCF_009982935.1_ASM998293v1_genomic_100kbp_proxy.fna,0
GCF_003665255.1_ASM366525v1_genomic_100kbp_proxy.fna,1
GCF_035804915.1_ASM3580491v1_genomic_100kbp_proxy.fna,0
GCA_036218965.1_ASM3621896v1_genomic_100kbp_proxy.fna,0
GCF_028541385.1_ASM2854138v1_genomic_100kbp_proxy.fna,0
GCA_002142515.1_ASM214251v1_genomic_100kbp_proxy.fna,0
GCA_002982175.1_ASM298217v1_genomic_100kbp_proxy.fna,0
GCA_007050195.1_ASM705019v1_genomic_100kbp_proxy.fna,1
GCF_982518365.1_NRS6133_genomic_100kbp_proxy.fna,1
GCF_041053155.1_ASM4105315v1_genomic_100kbp_proxy.fna,0
GCA_042718875.1_ASM4271887v1_genomic_100kbp_proxy.fna,0
GCF_001704095.1_ASM170409v1_genomic_100kbp_proxy.fna,1
GCF_021728925.1_ASM2172892v1_genomic_100kbp_proxy.fna,0
GCA_052078215.1_ASM5207821v1_genomic_100kbp_proxy.fna,1
GCA_017352355.1_ASM1735235v1_genomic_100kbp_proxy.fna,1
GCA_052120855.1_ASM5212085v1_genomic_100kbp_proxy.fna,0
GCF_002865705.1_ASM286570v1_genomic_100kbp_proxy.fna,1
GCF_007666735.1_ASM766673v1_genomic_100kbp_proxy.fna,1
GCA_044130245.1_ASM4413024v1_genomic_100kbp_proxy.fna,0
GCA_043558625.1_ASM4355862v1_genomic_100kbp_proxy.fna,1
GCA_052037935.2_ASM5203793v2_genomic_100kbp_proxy.fna,0
GCA_053606525.1_ASM5360652v1_genomic_100kbp_proxy.fna,0
GCA_039770075.1_ASM3977007v1_genomic_100kbp_proxy.fna,0
GCA_035812235.1_ASM3581223v1_genomic_100kbp_proxy.fna,1
GCF_982518335.1_NRS6136_genomic_100kbp_proxy.fna,0
GCA_053606905.1_ASM5360690v1_genomic_100kbp_proxy.fna,1
GCA_004101425.1_ASM410142v1_genomic_100kbp_proxy.fna,0
GCF_041925255.1_ASM4192525v1_genomic_100kbp_proxy.fna,0
GCA_047607985.1_ASM4760798v1_genomic_100kbp_proxy.fna,0
